Time (seconds),Temp,Humid,Light
3.72,27.07,35,0
34.54,27.13,33,0
65.34,27.2,29,0
96.15,27.27,27,0
126.98,27.33,27,0
157.78,27.39,27,0
188.61,27.45,27,0
219.41,27.5,27,0
250.24,27.56,27,0
281.03,27.6,26,0
311.87,27.65,26,0
342.70,27.69,26,0
373.52,27.73,26,0
404.34,27.77,26,0
435.18,27.8,26,0
466.00,27.83,26,0
496.83,27.86,26,0
527.66,27.89,26,0
558.46,27.92,26,0
589.26,27.94,26,0
620.06,27.96,26,0
650.89,27.99,26,0
681.72,28.01,26,0
712.55,28.03,26,0
743.38,28.06,26,0
774.20,28.08,26,0
805.00,28.1,26,0
835.83,28.12,26,0
866.68,28.13,26,0
897.48,28.15,26,0
928.29,28.16,25,0
959.09,28.18,25,0
989.92,28.19,25,0
1020.74,28.2,25,0
1051.57,28.21,25,0
1082.40,28.22,25,0
1113.23,28.23,25,0
1144.06,28.24,25,0
1174.86,28.26,25,0
1205.66,28.27,25,0
1236.49,28.28,25,0
1267.29,28.29,25,0
1298.14,28.3,25,0
1328.95,28.31,25,0
1359.78,28.32,25,0
1390.57,28.33,25,0
1421.38,28.34,25,0
1452.21,28.35,25,0
1483.04,28.36,25,0
1513.86,28.37,25,0
1544.69,28.39,25,0
1575.52,28.41,25,0
1606.35,28.42,25,0
1637.18,28.42,25,0
1667.98,28.43,25,0
1698.80,28.42,25,0
1729.61,28.43,25,0
1760.44,28.45,25,0
1791.24,28.46,25,0
1822.04,28.47,25,0
1852.87,28.49,25,0
1883.67,28.5,25,0
1914.48,28.51,25,0
1945.27,28.52,25,0
1976.10,28.52,25,0
2006.91,28.53,25,0
2037.74,28.53,25,0
2068.57,28.53,25,0
2099.37,28.54,25,0
2130.22,28.54,25,0
2161.05,28.53,25,0
2191.86,28.53,25,0
2222.66,28.53,25,0
2253.49,28.53,25,0
2284.32,28.54,25,0
2315.11,28.54,25,0
2345.94,28.55,25,0
2376.77,28.57,25,0
2407.60,28.57,24,0
2438.40,28.57,24,0
2469.23,28.58,24,0
2500.03,28.59,24,0
2530.86,28.6,24,0
2561.65,28.59,24,0
2592.45,28.59,24,0
2623.28,28.59,24,0
2654.11,28.6,24,0
2684.92,28.59,24,0
2715.75,28.59,24,0
2746.58,28.59,24,0
2777.41,28.61,24,0
2808.21,28.62,24,0
2839.01,28.62,24,0
2869.84,28.63,24,0
2900.64,28.63,24,0
2931.44,28.65,24,0
2962.29,28.65,24,0
2993.12,28.66,24,0
3023.93,28.66,24,0
3054.73,28.67,24,0
3085.53,28.67,24,0
3116.36,28.68,24,0
3147.19,28.69,24,0
3178.02,28.69,24,0
3208.82,28.69,24,0
3239.63,28.69,24,0
3270.46,28.68,24,0
3301.26,28.68,24,0
3332.06,28.68,24,0
3362.89,28.69,24,0
3393.69,28.69,24,0
3424.49,28.69,24,0
3455.32,28.7,24,0
3486.15,28.7,24,0
3516.98,28.7,24,0
3547.78,28.71,24,0
3578.58,28.7,24,0
3609.39,28.69,24,0
3640.19,28.69,24,0
3671.02,28.7,24,0
3701.83,28.71,24,0
3732.66,28.72,24,0
3763.46,28.73,24,0
3794.29,28.73,24,0
3825.09,28.73,24,0
3855.89,28.73,24,0
3886.72,28.72,24,0
3917.51,28.71,24,0
3948.34,28.72,24,0
3979.17,28.72,24,0
4010.00,28.71,24,0
4040.83,28.71,24,0
4071.63,28.72,24,0
4102.44,28.73,24,0
4133.24,28.74,24,0
4164.04,28.75,24,0
4194.89,28.75,24,0
4225.69,28.76,24,0
4256.49,28.75,24,0
4287.32,28.75,24,0
4318.14,28.76,24,0
4348.95,28.77,24,0
4379.78,28.78,24,0
4410.58,28.79,24,0
4441.41,28.8,24,0
4472.21,28.79,24,0
4503.02,28.79,24,0
4533.84,28.78,24,0
4564.67,28.77,24,0
4595.47,28.76,24,0
4626.30,28.75,24,0
4657.10,28.74,24,0
4687.93,28.74,24,0
4718.73,28.74,24,0
4749.56,28.74,24,0
4780.36,28.74,24,0
4811.19,28.76,24,0
4842.02,28.77,24,0
4872.82,28.78,24,0
4903.65,28.78,24,0
4934.48,28.77,24,0
4965.28,28.78,24,0
4996.11,28.78,24,0
5026.96,28.79,24,0
