Time (seconds),Temp,Humid,Light
3.72,28.29,27,0
34.54,28.45,25,0
65.37,28.46,24,0
96.17,28.42,25,0
126.98,28.33,25,0
157.81,28.2,25,0
188.64,28.06,25,0
219.46,27.99,25,0
250.27,27.94,25,0
281.07,27.92,25,0
311.90,27.91,25,0
342.70,27.9,25,0
373.53,27.9,25,0
404.38,27.89,25,0
435.20,27.89,25,0
466.00,27.87,25,0
496.80,27.85,25,0
527.64,27.82,25,0
558.43,27.8,25,0
589.24,27.79,25,0
620.07,27.78,25,0
650.90,27.76,25,0
681.69,27.75,25,0
712.52,27.74,25,0
743.35,27.73,25,0
774.18,27.73,25,0
805.01,27.72,25,0
835.84,27.7,25,0
866.68,27.69,25,0
897.51,27.61,25,0
928.34,27.55,25,0
959.17,27.53,25,0
989.97,27.52,25,0
1020.80,27.53,25,0
1051.63,27.54,25,0
1082.43,27.54,25,0
1113.24,27.54,25,0
1144.03,27.55,25,0
1174.84,27.55,25,0
1205.64,27.55,25,0
1236.44,27.53,25,0
1267.26,27.52,25,0
1298.09,27.51,25,0
1328.92,27.51,25,0
1359.75,27.5,25,0
1390.58,27.5,25,0
1421.38,27.49,25,0
1452.21,27.48,25,0
1483.01,27.48,25,0
1513.84,27.46,25,0
1544.64,27.46,25,0
1575.47,27.46,25,0
1606.28,27.45,25,0
1637.08,27.44,25,0
1667.88,27.44,25,0
1698.70,27.43,26,0
1729.51,27.42,25,0
1760.31,27.42,25,0
1791.12,27.41,25,0
1821.94,27.4,25,0
1852.77,27.4,25,0
1883.60,27.39,25,0
1914.43,27.38,25,0
1945.23,27.37,25,0
1976.03,27.37,25,0
2006.86,27.36,25,0
2037.69,27.36,26,0
2068.52,27.36,25,0
2099.32,27.35,25,0
2130.14,27.34,26,0
2160.94,27.34,25,0
2191.75,27.33,25,0
2222.56,27.32,26,0
2253.38,27.32,25,0
2284.21,27.32,25,0
2315.04,27.32,25,0
2345.87,27.32,25,0
2376.68,27.32,25,0
2407.51,27.32,25,0
2438.34,27.31,25,0
2469.16,27.3,26,0
2499.99,27.3,25,0
2530.84,27.3,25,0
2561.64,27.29,25,0
2592.47,27.29,25,0
2623.30,27.29,26,0
2654.10,27.3,25,0
2684.90,27.29,25,0
2715.73,27.29,26,0
2746.54,27.29,25,0
2777.36,27.29,26,0
2808.19,27.28,25,0
2839.00,27.28,25,0
2869.80,27.27,25,0
2900.63,27.27,26,0
2931.43,27.27,25,0
2962.28,27.26,25,0
2993.08,27.26,25,0
3023.88,27.26,25,0
3054.71,27.26,25,0
3085.54,27.26,25,0
3116.37,27.25,25,0
3147.17,27.25,25,0
3177.97,27.25,25,0
3208.77,27.24,25,0
3239.60,27.23,25,0
3270.41,27.23,25,0
3301.21,27.23,25,0
3332.04,27.24,25,0
3362.89,27.24,25,0
3393.69,27.23,25,0
3424.52,27.23,25,0
3455.35,27.23,25,0
3486.18,27.23,25,0
3517.01,27.23,25,0
3547.84,27.23,25,0
3578.63,27.22,25,0
3609.44,27.22,25,0
3640.24,27.22,25,0
3671.04,27.21,25,0
3701.85,27.21,25,0
3732.68,27.22,25,0
3763.47,27.22,25,0
3794.32,27.23,25,0
3825.12,27.23,25,0
3855.93,27.23,25,0
3886.73,27.23,25,0
3917.53,27.23,25,0
3948.33,27.23,25,0
3979.14,27.23,25,0
4009.97,27.22,25,0
4040.80,27.22,25,0
4071.63,27.21,25,0
4102.43,27.21,25,0
4133.23,27.2,25,0
4164.03,27.2,25,0
4194.86,27.2,25,0
4225.68,27.2,25,0
4256.48,27.2,25,0
4287.31,27.19,25,0
4318.14,27.18,25,0
4348.97,27.18,25,0
4379.80,27.18,25,0
4410.60,27.17,25,0
4441.43,27.17,25,0
4472.26,27.18,25,0
4503.06,27.18,25,0
4533.89,27.17,25,0
4564.72,27.17,25,0
4595.52,27.17,25,0
4626.34,27.17,25,0
4657.15,27.17,25,0
4687.95,27.15,25,0
4718.78,27.13,25,0
4749.58,27.11,25,0
4780.41,27.1,25,0
4811.24,27.1,25,0
4842.04,27.12,25,0
4872.84,27.14,25,0
4903.64,27.15,25,0
4934.45,27.16,25,0
4965.28,27.17,25,0
4996.08,27.17,25,0
5026.88,27.17,25,0
5057.73,27.17,25,0
5088.54,27.17,25,0
5119.34,27.17,25,0
5150.14,27.16,25,0
5180.97,27.16,25,0
5211.80,27.16,25,0
5242.61,27.16,25,0
5273.44,27.15,25,0
5304.27,27.15,25,0
5335.07,27.15,25,0
5365.90,27.15,25,0
5396.70,27.14,25,0
5427.53,27.15,25,0
5458.38,27.15,25,0
5489.20,27.16,25,0
5520.00,27.16,25,0
5550.83,27.16,25,0
5581.64,27.15,25,0
5612.44,27.15,25,0
5643.27,27.15,25,0
5674.10,27.15,25,0
5704.90,27.15,25,0
5735.73,27.15,25,0
5766.56,27.15,25,0
5797.37,27.15,25,0
5828.20,27.15,25,0
5859.03,27.15,25,0
5889.87,27.15,25,0
5920.67,27.15,25,0
5951.50,27.15,25,0
5982.32,27.14,25,0
6013.12,27.14,25,0
6043.93,27.14,25,0
6074.73,27.14,25,0
6105.56,27.14,25,0
6136.36,27.14,25,0
6167.16,27.14,25,0
6197.99,27.13,25,0
6228.82,27.13,25,0
6259.65,27.13,25,0
6290.48,27.13,25,0
6321.30,27.14,25,0
6352.11,27.14,25,0
6382.94,27.14,25,0
6413.77,27.15,25,0
6444.57,27.14,25,0
6475.40,27.13,25,0
6506.20,27.13,25,0
6537.00,27.13,25,0
6567.83,27.13,25,0
6598.63,27.12,25,0
6629.46,27.13,25,0
6660.28,27.13,25,0
6691.21,27.13,25,0
6722.01,27.13,25,0
6752.81,27.13,25,0
6783.64,27.14,25,0
6814.47,27.14,25,0
6845.27,27.14,25,0
6876.08,27.14,25,0
6906.90,27.14,25,0
6937.70,27.14,25,0
6968.51,27.15,25,0
6999.31,27.15,25,0
7030.12,27.14,25,0
7060.95,27.14,25,0
7091.75,27.13,25,0
7122.57,27.13,25,0
7153.38,27.13,25,0
7184.21,27.13,25,0
7215.04,27.13,25,0
7245.86,27.13,25,0
7276.67,27.13,25,0
7307.50,27.13,25,0
7338.33,27.13,25,0
7369.13,27.14,25,0
7399.96,27.14,25,0
7430.78,27.13,25,0
7461.59,27.13,25,0
7492.42,27.13,25,0
7523.23,27.14,25,0
7554.06,27.13,25,0
7584.89,27.13,25,0
7615.72,27.14,25,0
7646.52,27.14,25,0
7677.33,27.14,25,0
7708.13,27.14,25,0
7738.93,27.14,25,0
7769.76,27.13,25,0
7800.56,27.13,25,0
7831.39,27.13,25,0
7862.19,27.14,25,0
7893.00,27.14,25,0
7923.82,27.14,25,0
7954.67,27.14,25,0
7985.48,27.14,25,0
8016.30,27.14,25,0
8047.10,27.14,25,0
8077.93,27.13,25,0
8108.74,27.13,25,0
8139.54,27.12,25,0
8170.34,27.13,25,0
8201.14,27.13,25,0
8231.97,27.13,25,0
8262.77,27.13,25,0
8293.58,27.14,25,0
8324.38,27.14,25,0
8355.23,27.14,25,0
8386.06,27.14,25,0
8416.88,27.14,25,0
8447.68,27.14,25,0
8478.51,27.13,25,0
8509.31,27.14,25,0
8540.14,27.14,25,0
8570.95,27.14,25,0
8601.78,27.14,25,0
8632.60,27.14,25,0
8663.41,27.14,25,0
8694.24,27.14,25,0
8725.04,27.14,25,0
8755.87,27.14,25,0
8786.72,27.13,25,0
8817.55,27.13,25,0
8848.35,27.13,25,0
8879.18,27.13,25,0
8910.00,27.13,25,0
8940.81,27.13,25,0
8971.61,27.12,25,0
9002.41,27.12,25,0
9033.22,27.12,25,0
9064.01,27.11,25,0
9094.81,27.11,25,0
9125.62,27.11,25,0
9156.45,27.11,25,0
9187.28,27.11,25,0
9218.11,27.11,25,0
9248.91,27.11,25,0
9279.71,27.11,25,0
9310.54,27.11,25,0
9341.37,27.12,25,0
9372.17,27.12,25,0
9403.00,27.12,25,0
9433.80,27.12,25,0
9464.63,27.12,25,0
9495.43,27.12,25,0
9526.26,27.13,25,0
9557.06,27.12,25,0
9587.86,27.12,25,0
9618.69,27.11,25,0
9649.49,27.11,25,0
9680.29,27.1,25,0
9711.12,27.06,25,0
9741.92,27.04,25,0
9772.75,27.01,25,0
9803.55,27.01,25,0
9834.35,27.03,25,0
9865.18,27.04,25,0
9895.98,27.07,25,0
9926.81,27.08,25,0
9957.64,27.1,25,0
9988.47,27.11,25,0
10019.29,27.12,25,0
10050.12,27.13,25,0
10080.92,27.13,25,0
10111.75,27.12,25,0
10142.58,27.12,25,0
10173.40,27.11,25,0
10204.20,27.11,25,0
