Time (seconds),Temp,Humid,Light
4.61,26.51,40,0
35.41,26.33,36,0
66.21,26.06,37,0
97.01,25.8,37,0
127.81,25.57,38,0
158.61,25.38,38,0
189.41,25.23,38,0
220.21,25.08,38,0
251.01,24.95,38,0
281.81,24.85,38,0
312.62,24.75,38,0
343.42,24.67,39,0
374.22,24.59,39,0
405.04,24.52,39,0
435.84,24.47,38,0
466.64,24.42,39,0
497.44,24.37,38,0
528.24,24.33,38,0
559.04,24.29,38,0
589.84,24.25,39,0
620.64,24.22,38,0
651.45,24.19,38,0
682.25,24.16,38,0
713.05,24.13,39,0
743.85,24.11,38,0
774.65,24.08,39,0
805.45,24.06,39,0
836.25,24.02,39,0
867.06,24,39,0
897.86,23.97,39,0
928.66,23.94,39,0
959.46,23.92,39,0
990.27,23.91,39,0
1021.07,23.89,40,0
1051.87,23.89,40,0
1082.67,23.88,39,0
1113.47,23.87,39,0
1144.27,23.85,39,0
1175.07,23.83,39,0
1205.87,23.82,39,0
1236.67,23.8,39,0
1267.48,23.78,39,0
1298.29,23.77,39,0
1329.09,23.77,39,0
1359.89,23.76,39,0
1390.69,23.74,39,0
1421.49,23.73,39,0
1452.29,23.7,39,0
1483.09,23.69,39,0
1513.89,23.68,40,0
1544.69,23.67,40,0
1575.49,23.66,40,0
1606.29,23.66,40,0
1637.09,23.66,40,0
1667.89,23.66,40,0
1698.71,23.65,40,0
1729.51,23.65,40,0
1760.32,23.63,40,0
1791.12,23.62,40,0
1821.92,23.62,40,0
1852.72,23.61,40,0
1883.52,23.61,40,0
1914.32,23.61,40,0
1945.12,23.61,40,0
1975.92,23.6,40,0
2006.72,23.6,40,0
2037.52,23.6,40,0
2068.32,23.59,40,0
2099.12,23.59,40,0
2129.94,23.59,40,0
2160.74,23.59,40,0
2191.54,23.59,40,0
2222.34,23.59,40,0
2253.14,23.58,40,0
2283.95,23.58,40,0
2314.75,23.58,40,0
2345.55,23.57,40,0
2376.35,23.57,40,0
2407.15,23.57,40,0
2437.95,23.56,40,0
2468.75,23.56,40,0
2499.55,23.56,40,0
2530.37,23.56,40,0
2561.17,23.56,40,0
2591.97,23.55,40,0
2622.77,23.55,40,0
2653.57,23.54,40,0
2684.37,23.54,40,0
2715.17,23.54,40,0
2745.97,23.54,40,0
2776.77,23.53,40,0
2807.57,23.53,40,0
2838.37,23.53,40,0
2869.17,23.53,40,0
2899.98,23.52,40,0
2930.78,23.52,40,0
2961.60,23.51,40,0
2992.40,23.5,40,0
3023.20,23.5,40,0
3054.00,23.49,40,0
3084.80,23.49,40,0
3115.60,23.49,40,0
3146.40,23.49,40,0
3177.20,23.48,40,0
3208.00,23.48,40,0
3238.80,23.47,40,0
3269.60,23.47,40,0
3300.40,23.47,40,0
3331.20,23.47,40,0
3362.02,23.46,40,0
3392.82,23.46,40,0
3423.63,23.46,40,0
3454.43,23.46,40,0
3485.23,23.46,40,0
3516.03,23.45,40,0
3546.83,23.45,40,0
3577.63,23.44,40,0
3608.43,23.44,40,0
3639.23,23.44,40,0
3670.03,23.44,40,0
3700.83,23.44,40,0
3731.63,23.43,40,0
3762.43,23.43,40,0
3793.25,23.43,40,0
3824.05,23.43,40,0
3854.85,23.43,40,0
3885.65,23.43,40,0
3916.45,23.43,40,0
3947.25,23.43,40,0
3978.05,23.43,40,0
4008.85,23.42,40,0
4039.66,23.42,40,0
4070.46,23.42,40,0
4101.26,23.42,40,0
4132.06,23.42,40,0
4162.86,23.42,40,0
4193.68,23.42,40,0
4224.48,23.42,40,0
4255.28,23.42,40,0
4286.08,23.41,40,0
4316.88,23.41,40,0
4347.68,23.41,40,0
4378.48,23.41,40,0
4409.28,23.4,40,0
4440.08,23.4,40,0
4470.88,23.41,40,0
4501.68,23.4,40,0
4532.48,23.39,40,0
4563.29,23.39,40,0
4594.09,23.39,40,0
4624.91,23.39,40,0
4655.71,23.39,41,0
4686.51,23.39,40,0
4717.31,23.39,41,0
4748.11,23.39,40,0
4778.91,23.4,40,0
4809.71,23.4,40,0
4840.51,23.4,41,0
4871.31,23.4,41,0
4902.11,23.4,41,0
4932.91,23.4,40,0
4963.71,23.4,41,0
4994.51,23.4,40,0
5025.31,23.4,40,0
5056.13,23.4,40,0
5086.93,23.39,40,0
5117.73,23.4,40,0
5148.53,23.39,41,0
5179.33,23.39,40,0
5210.14,23.39,40,0
5240.94,23.39,41,0
5271.74,23.39,41,0
5302.54,23.39,40,0
5333.34,23.39,40,0
5364.14,23.38,40,0
5394.94,23.39,41,0
5425.74,23.39,40,0
5456.56,23.39,40,0
5487.36,23.38,40,0
5518.16,23.38,40,0
5548.96,23.38,40,0
5579.76,23.38,41,0
5610.56,23.38,40,0
5641.36,23.38,41,0
5672.16,23.38,41,0
5702.97,23.38,41,0
5733.77,23.38,41,0
5764.57,23.38,41,0
5795.37,23.38,41,0
5826.17,23.38,41,0
5856.97,23.38,41,0
5887.79,23.38,41,0
5918.59,23.38,41,0
5949.39,23.38,41,0
5980.19,23.38,41,0
6010.99,23.38,41,0
6041.79,23.38,41,0
6072.59,23.38,40,0
6103.39,23.37,40,0
6134.19,23.38,40,0
6164.99,23.38,40,0
6195.79,23.38,41,0
6226.59,23.38,40,0
6257.39,23.38,40,0
6288.21,23.38,40,0
6319.02,23.38,40,0
6349.82,23.39,40,0
6380.62,23.39,40,0
6411.42,23.39,40,0
6442.22,23.39,41,0
6473.02,23.4,41,0
6503.82,23.4,41,0
6534.62,23.41,40,0
6565.42,23.41,40,0
6596.22,23.41,41,0
6627.02,23.41,41,0
6657.82,23.4,41,0
6688.62,23.41,41,0
6719.55,23.41,41,0
6750.35,23.41,41,0
6781.15,23.41,41,0
6811.95,23.41,41,0
6842.75,23.41,41,0
6873.55,23.4,41,0
6904.35,23.4,41,0
6935.15,23.4,40,0
6965.95,23.4,41,0
6996.75,23.4,40,0
7027.55,23.4,41,0
7058.35,23.4,41,0
7089.15,23.4,41,0
7119.95,23.4,41,0
7150.77,23.4,40,0
7181.57,23.4,40,0
7212.37,23.39,40,0
7243.17,23.39,40,0
7273.97,23.39,40,0
7304.78,23.39,40,0
7335.58,23.39,41,0
7366.38,23.39,41,0
7397.18,23.39,40,0
7427.98,23.38,40,0
7458.78,23.39,40,0
7489.58,23.39,40,0
7520.38,23.39,40,0
7551.20,23.39,40,0
7582.00,23.39,40,0
7612.80,23.39,40,0
7643.60,23.39,40,0
7674.40,23.39,40,0
7705.20,23.39,40,0
7736.00,23.38,40,0
7766.80,23.38,40,0
7797.60,23.38,40,0
7828.41,23.38,40,0
7859.21,23.38,40,0
7890.01,23.38,40,0
7920.81,23.38,40,0
7951.61,23.39,40,0
7982.43,23.38,40,0
8013.23,23.38,40,0
8044.03,23.38,40,0
8074.83,23.37,40,0
8105.63,23.37,40,0
8136.43,23.37,40,0
8167.23,23.37,40,0
8198.03,23.38,40,0
8228.83,23.38,40,0
8259.63,23.38,40,0
8290.43,23.38,40,0
8321.23,23.38,40,0
8352.03,23.38,40,0
8382.85,23.37,40,0
8413.65,23.37,40,0
8444.46,23.38,40,0
8475.26,23.38,40,0
8506.06,23.38,40,0
8536.86,23.38,40,0
8567.66,23.38,40,0
8598.46,23.38,40,0
8629.26,23.39,40,0
8660.06,23.39,40,0
8690.86,23.39,40,0
8721.66,23.39,40,0
8752.46,23.39,40,0
8783.26,23.39,40,0
8814.08,23.39,40,0
8844.88,23.39,40,0
8875.68,23.39,40,0
8906.48,23.39,40,0
8937.28,23.39,40,0
8968.09,23.39,40,0
8998.89,23.39,40,0
9029.69,23.4,40,0
9060.49,23.4,40,0
9091.29,23.4,40,0
9122.09,23.4,40,0
9152.89,23.41,40,0
9183.69,23.41,40,0
9214.50,23.41,40,0
9245.31,23.4,40,0
9276.11,23.41,40,0
9306.91,23.41,40,0
9337.71,23.41,40,0
9368.51,23.41,40,0
9399.31,23.41,40,0
9430.11,23.4,40,0
9460.91,23.4,40,0
9491.71,23.4,40,0
9522.51,23.4,40,0
9553.31,23.4,40,0
9584.11,23.4,40,0
9614.91,23.41,40,0
9645.73,23.41,40,0
9676.53,23.41,40,0
9707.33,23.41,40,0
9738.13,23.41,40,0
9768.93,23.41,40,0
9799.73,23.42,40,0
9830.53,23.42,40,0
9861.33,23.43,40,0
9892.13,23.43,40,0
9922.94,23.42,40,0
9953.74,23.42,40,0
9984.54,23.43,40,0
10015.34,23.43,40,0
10046.14,23.43,40,0
10076.96,23.43,40,0
10107.76,23.43,40,0
10138.56,23.43,40,0
10169.36,23.43,40,0
10200.16,23.43,40,0
10230.96,23.43,40,0
10261.77,23.43,40,0
10292.57,23.43,40,0
10323.37,23.43,40,0
10354.17,23.43,40,0
10384.97,23.44,40,0
10415.77,23.44,40,0
10446.57,23.44,40,0
10477.39,23.43,40,0
10508.19,23.43,40,0
10538.99,23.43,40,0
10569.79,23.43,40,0
10600.59,23.42,40,0
10631.39,23.42,40,0
10662.19,23.42,40,0
10692.99,23.42,40,0
10723.79,23.42,40,0
10754.59,23.42,40,0
10785.39,23.42,40,0
10816.19,23.42,40,0
10847.01,23.42,40,0
10877.81,23.42,40,0
10908.62,23.42,40,0
10939.42,23.42,40,0
10970.22,23.42,40,0
11001.02,23.42,40,0
11031.82,23.42,40,0
11062.62,23.42,40,0
11093.42,23.42,40,0
11124.22,23.42,40,0
11155.02,23.42,40,0
11185.82,23.42,40,0
11216.62,23.42,40,0
11247.44,23.42,40,0
11278.24,23.42,40,0
11309.04,23.42,40,0
11339.84,23.42,40,0
11370.64,23.42,40,0
11401.45,23.42,40,0
11432.25,23.43,40,0
11463.05,23.43,40,0
11493.85,23.43,40,0
11524.65,23.43,40,0
11555.45,23.43,40,0
11586.25,23.43,40,0
11617.05,23.43,40,0
11647.87,23.44,40,0
11678.67,23.44,40,0
11709.47,23.44,40,0
11740.27,23.44,40,0
11771.07,23.44,40,0
11801.87,23.44,40,0
11832.67,23.44,40,0
11863.47,23.44,40,0
11894.27,23.44,40,0
11925.07,23.44,40,0
11955.87,23.44,40,0
11986.67,23.44,40,0
12017.48,23.44,40,0
12048.30,23.44,40,0
12079.10,23.44,40,0
12109.90,23.44,40,0
12140.70,23.44,40,0
12171.50,23.44,40,0
12202.30,23.45,40,0
12233.10,23.45,40,0
12263.90,23.45,40,0
12294.70,23.45,40,0
12325.50,23.45,40,0
12356.30,23.45,40,0
12387.10,23.45,40,0
12417.90,23.46,40,0
12448.72,23.46,40,0
12479.52,23.46,40,0
12510.32,23.46,40,0
12541.13,23.45,40,0
12571.93,23.45,40,0
12602.73,23.45,40,0
12633.53,23.45,40,0
12664.33,23.46,40,0
12695.13,23.46,40,0
12725.93,23.46,40,0
12756.73,23.47,40,0
12787.53,23.47,40,0
12818.35,23.47,40,0
12849.15,23.47,40,0
12879.95,23.47,40,0
12910.75,23.47,40,0
12941.55,23.47,40,0
12972.35,23.47,40,0
13003.15,23.47,40,0
13033.95,23.47,40,0
13064.75,23.47,40,0
13095.55,23.47,40,0
13126.35,23.47,40,0
13157.16,23.46,40,0
13187.96,23.46,40,0
13218.89,23.46,40,0
13249.69,23.46,40,0
13280.49,23.46,40,0
13311.29,23.46,39,0
13342.09,23.46,39,0
13372.89,23.46,39,0
13403.69,23.45,40,0
13434.49,23.45,40,0
13465.29,23.44,40,0
13496.09,23.44,40,0
13526.89,23.44,40,0
13557.69,23.45,40,0
13588.49,23.45,40,0
13619.31,23.44,40,0
13650.12,23.45,40,0
13680.92,23.44,40,0
13711.72,23.44,40,0
13742.52,23.45,40,0
13773.32,23.45,40,0
13804.12,23.45,40,0
13834.92,23.45,40,0
13865.72,23.46,40,0
13896.52,23.45,40,0
13927.32,23.46,40,0
13958.12,23.46,39,0
13988.92,23.46,40,0
14019.74,23.45,40,0
14050.54,23.45,40,0
14081.34,23.45,40,0
14112.14,23.45,40,0
14142.94,23.47,40,0
14173.75,23.48,40,0
14204.55,23.48,40,0
14235.35,23.49,40,0
14266.15,23.49,40,0
14296.95,23.49,39,0
14327.75,23.5,40,0
14358.55,23.5,39,0
14389.35,23.5,40,0
14420.17,23.5,40,0
14450.97,23.5,40,0
14481.77,23.5,40,0
14512.57,23.5,40,0
14543.37,23.5,40,0
14574.17,23.5,40,0
14604.97,23.49,40,0
14635.77,23.5,40,0
14666.57,23.51,40,0
14697.37,23.52,40,0
14728.17,23.52,40,0
14758.97,23.52,40,0
14789.78,23.52,40,0
14820.60,23.52,39,0
14851.40,23.52,39,0
14882.20,23.51,39,0
14913.00,23.51,40,0
14943.80,23.5,39,0
14974.60,23.51,40,0
15005.40,23.5,40,0
15036.20,23.5,40,0
15067.00,23.5,40,0
15097.80,23.51,40,0
15128.60,23.51,40,0
15159.40,23.51,40,0
15190.20,23.51,40,0
15221.02,23.51,40,0
15251.82,23.52,40,0
15282.62,23.51,40,0
15313.43,23.51,40,0
15344.23,23.52,40,0
15375.03,23.51,40,0
15405.83,23.51,40,0
15436.63,23.52,40,0
15467.43,23.52,40,0
15498.23,23.52,39,0
15529.03,23.52,39,0
15559.83,23.53,39,0
15590.63,23.52,39,0
15621.45,23.52,39,0
15652.25,23.52,39,0
15683.05,23.51,39,0
15713.85,23.52,39,0
15744.65,23.52,39,0
15775.45,23.52,39,0
15806.25,23.52,39,0
15837.05,23.52,39,0
15867.85,23.52,39,0
15898.65,23.53,39,0
15929.46,23.52,39,0
15960.26,23.52,39,0
15991.08,23.52,39,0
16021.88,23.52,39,0
16052.68,23.52,39,0
16083.48,23.51,40,0
16114.28,23.52,40,0
16145.08,23.52,40,0
16175.88,23.52,40,0
16206.68,23.53,40,0
16237.48,23.53,40,0
16268.28,23.53,40,0
16299.08,23.53,40,0
16329.88,23.53,40,0
16360.68,23.53,40,0
16391.50,23.53,40,0
16422.30,23.53,40,0
16453.11,23.53,39,0
16483.91,23.53,39,0
16514.71,23.53,39,0
16545.51,23.53,39,0
16576.31,23.53,39,0
16607.11,23.53,39,0
16637.91,23.52,39,0
16668.71,23.52,39,0
16699.51,23.52,39,0
16730.31,23.53,39,0
16761.11,23.52,39,0
16791.93,23.52,39,0
16822.73,23.52,39,0
16853.53,23.52,39,0
16884.33,23.52,39,0
16915.13,23.52,40,0
16945.93,23.52,39,0
16976.73,23.52,39,0
17007.53,23.52,40,0
17038.33,23.52,40,0
17069.14,23.52,40,0
17099.94,23.52,40,0
17130.74,23.52,40,0
17161.54,23.53,40,0
17192.36,23.53,40,0
17223.16,23.53,40,0
17253.96,23.53,40,0
17284.76,23.53,40,0
17315.56,23.53,40,0
17346.36,23.54,40,0
17377.16,23.53,39,0
17407.96,23.54,39,0
17438.76,23.54,39,0
17469.56,23.54,39,0
17500.36,23.54,39,0
17531.16,23.54,39,0
17561.96,23.54,39,0
17592.79,23.54,39,0
17623.59,23.54,39,0
17654.39,23.54,39,0
17685.19,23.54,39,0
17715.99,23.54,39,0
17746.79,23.54,39,0
17777.59,23.54,39,0
17808.39,23.54,39,0
17839.19,23.54,39,0
17869.99,23.54,39,0
17900.79,23.54,39,0
17931.59,23.54,39,0
17962.41,23.54,39,0
17993.21,23.54,39,0
18024.01,23.54,39,0
18054.81,23.54,39,0
18085.61,23.54,39,0
18116.41,23.55,39,0
18147.21,23.55,39,0
18178.01,23.54,39,0
18208.82,23.54,39,0
18239.62,23.54,39,0
18270.42,23.54,39,0
18301.22,23.55,39,0
18332.02,23.54,39,0
18362.84,23.55,39,0
18393.64,23.55,39,0
18424.44,23.55,39,0
18455.24,23.55,39,0
18486.04,23.55,39,0
18516.84,23.55,39,0
18547.64,23.55,39,0
18578.44,23.55,39,0
18609.24,23.55,39,0
18640.04,23.55,39,0
18670.84,23.55,39,0
18701.64,23.55,39,0
18732.45,23.55,39,0
18763.27,23.55,39,0
18794.07,23.55,39,0
18824.87,23.54,39,0
18855.67,23.55,39,0
18886.47,23.55,39,0
