Time (seconds),Temp,Humid,Light
3.71,21.66,45,0
34.51,21.69,46,0
65.31,22.44,41,0
96.11,22.52,31,0
126.91,22.33,31,0
157.71,22.07,32,0
188.51,21.82,32,0
219.31,21.6,32,0
250.11,21.42,32,0
280.91,21.27,32,0
311.71,21.15,33,0
342.51,21.05,33,0
373.31,20.97,33,0
404.13,20.91,33,0
434.93,20.86,33,0
465.73,20.81,33,0
496.53,20.78,33,0
527.33,20.75,33,0
558.13,20.74,33,0
588.93,20.72,33,0
619.73,20.72,33,0
650.54,20.72,33,0
681.34,20.72,33,0
712.14,20.72,33,0
742.94,20.72,33,0
773.74,20.73,33,0
804.54,20.74,33,0
835.35,20.74,33,0
866.15,20.75,33,0
896.95,20.76,33,0
927.75,20.77,33,0
958.56,20.79,33,0
989.36,20.8,33,0
1020.16,20.81,33,0
1050.96,20.82,33,0
1081.76,20.83,33,0
1112.56,20.84,33,0
1143.36,20.85,33,0
1174.16,20.86,33,0
1204.96,20.88,33,0
1235.76,20.89,33,0
1266.58,20.9,33,0
1297.38,20.91,33,0
1328.18,20.92,33,0
1358.98,20.93,33,0
1389.78,20.94,33,0
1420.58,20.95,33,0
1451.38,20.97,32,0
1482.18,20.98,32,0
1512.98,20.99,32,0
1543.78,21,32,0
1574.58,21.01,32,0
1605.38,21.02,32,0
1636.19,21.03,32,0
1666.99,21.04,32,0
1697.81,21.05,32,0
1728.61,21.07,32,0
1759.41,21.08,32,0
1790.21,21.09,32,0
1821.01,21.09,32,0
1851.81,21.1,32,0
1882.61,21.11,32,0
1913.41,21.13,32,0
1944.21,21.14,32,0
1975.01,21.14,32,0
2005.81,21.15,32,0
2036.61,21.16,32,0
2067.41,21.17,32,0
2098.21,21.18,32,0
2129.03,21.19,32,0
2159.83,21.21,32,0
2190.63,21.21,32,0
2221.43,21.22,32,0
2252.23,21.23,32,0
2283.03,21.24,32,0
2313.83,21.25,32,0
2344.63,21.27,32,0
2375.43,21.28,32,0
2406.23,21.29,32,0
2437.03,21.3,32,0
2467.83,21.32,32,0
2498.63,21.33,32,0
2529.45,21.34,32,0
2560.25,21.35,32,0
2591.06,21.37,32,0
2621.86,21.38,32,0
2652.66,21.39,32,0
2683.46,21.4,32,0
2714.26,21.41,32,0
2745.06,21.43,32,0
2775.86,21.44,32,0
2806.66,21.45,32,0
2837.46,21.46,32,0
2868.26,21.47,32,0
2899.06,21.49,32,0
2929.86,21.5,32,0
2960.68,21.51,32,0
2991.48,21.53,32,0
3022.28,21.54,32,0
3053.08,21.55,32,0
3083.88,21.56,32,0
3114.68,21.57,32,0
3145.48,21.59,32,0
3176.28,21.6,32,0
3207.08,21.61,32,0
3237.88,21.63,32,0
3268.69,21.64,32,0
3299.49,21.65,32,0
3330.29,21.66,32,0
3361.11,21.68,32,0
3391.91,21.69,32,0
3422.71,21.7,32,0
3453.51,21.72,32,0
3484.31,21.73,32,0
3515.11,21.74,32,0
3545.91,21.75,32,0
3576.71,21.76,32,0
3607.51,21.77,32,0
3638.31,21.79,32,0
