Time (seconds),Temp,Humid,Light
3.16,26.8,31,0
9.61,26.82,29,0
16.07,26.63,28,0
22.55,26.44,28,0
29.01,26.29,28,0
35.48,26.22,28,0
41.94,26.12,28,0
48.41,26.04,28,0
54.88,25.97,28,0
61.34,25.91,28,0
67.81,25.84,28,0
74.28,25.78,28,0
80.74,25.75,28,0
87.21,25.71,28,0
93.68,25.62,28,0
100.15,25.51,28,0
106.61,25.49,28,0
113.08,25.45,28,0
119.54,25.4,27,0
126.01,25.33,28,0
132.48,25.24,28,0
138.94,25.18,29,0
145.41,25.14,29,0
151.87,25.11,28,0
158.34,25.06,28,0
164.80,25.01,29,0
171.27,24.96,29,0
177.73,24.92,29,0
184.19,24.9,29,0
190.66,24.91,29,0
197.12,24.88,28,0
203.58,24.89,28,0
210.05,24.86,28,0
216.51,24.81,28,0
222.97,24.78,29,0
229.43,24.76,29,0
235.89,24.72,28,0
242.36,24.67,29,0
248.82,24.65,29,0
255.28,24.66,29,0
261.75,24.67,28,0
268.21,24.66,28,0
274.67,24.64,28,0
281.14,24.61,29,0
287.60,24.61,29,0
294.06,24.6,29,0
300.53,24.59,28,0
306.99,24.58,28,0
313.45,24.54,28,0
319.92,24.5,29,0
326.38,24.48,29,0
332.84,24.46,29,0
339.31,24.42,29,0
345.77,24.4,29,0
352.23,24.38,30,0
358.69,24.36,30,0
365.15,24.36,30,0
371.61,24.33,29,0
378.07,24.32,30,0
384.54,24.32,30,0
391.00,24.31,29,0
397.46,24.29,29,0
403.92,24.28,30,0
410.38,24.28,30,0
416.84,24.28,30,0
423.31,24.25,30,0
429.77,24.25,30,0
436.23,24.25,30,0
442.69,24.24,29,0
449.15,24.23,29,0
455.61,24.2,30,0
462.07,24.19,30,0
468.53,24.17,30,0
474.99,24.16,30,0
481.45,24.14,30,0
487.91,24.1,30,0
494.37,24.1,30,0
500.83,24.1,30,0
507.30,24.1,30,0
513.76,24.11,30,0
520.22,24.1,30,0
526.68,24.09,30,0
533.14,24.09,30,0
539.60,24.09,30,0
546.06,24.09,30,0
552.52,24.08,30,0
558.98,24.06,29,0
565.44,24.04,30,0
571.90,24.03,30,0
578.36,24.01,30,0
584.82,24,31,0
591.28,24,30,0
597.74,24.01,30,0
604.20,24.01,29,0
610.66,24,29,0
617.12,23.99,30,0
623.58,23.97,30,0
630.05,23.96,30,0
636.51,23.95,29,0
642.97,23.95,30,0
649.43,23.95,30,0
655.89,23.96,30,0
662.35,23.92,30,0
668.81,23.92,30,0
675.27,23.91,30,0
681.73,23.93,30,0
688.19,23.94,30,0
694.66,23.93,30,0
701.12,23.94,30,0
707.58,23.93,30,0
714.04,23.93,30,0
720.50,23.92,30,0
726.96,23.91,30,0
733.42,23.91,30,0
739.89,23.91,30,0
746.35,23.88,31,0
752.81,23.88,31,0
759.27,23.87,31,0
765.73,23.87,31,0
772.19,23.86,31,0
778.65,23.85,32,0
785.11,23.86,32,0
791.57,23.84,31,0
798.04,23.85,31,0
804.49,23.85,31,0
810.95,23.86,31,0
817.42,23.85,30,0
823.88,23.83,31,0
830.34,23.82,31,0
836.80,23.82,31,0
843.26,23.81,31,0
849.72,23.79,31,0
856.19,23.8,31,0
862.65,23.8,31,0
869.10,23.8,30,0
875.56,23.78,30,0
882.03,23.78,31,0
888.48,23.79,31,0
894.94,23.78,30,0
901.40,23.77,31,0
907.86,23.77,31,0
914.32,23.75,30,0
920.78,23.75,30,0
927.24,23.75,31,0
933.70,23.75,30,0
940.16,23.75,30,0
946.62,23.75,30,0
953.08,23.75,31,0
959.54,23.74,31,0
966.00,23.74,31,0
972.46,23.73,31,0
978.92,23.73,31,0
985.39,23.74,31,0
991.85,23.72,32,0
998.31,23.72,31,0
1004.77,23.71,31,0
1011.23,23.69,31,0
1017.69,23.7,31,0
1024.15,23.7,31,0
1030.61,23.69,31,0
1037.07,23.7,31,0
1043.53,23.69,31,0
1049.99,23.67,32,0
1056.45,23.68,32,0
1062.91,23.67,31,0
1069.37,23.67,32,0
1075.83,23.68,31,0
1082.30,23.67,31,0
1088.75,23.67,30,0
1095.21,23.66,30,0
1101.68,23.66,31,0
1108.14,23.65,31,0
1114.60,23.66,31,0
1121.06,23.64,31,0
1127.52,23.64,31,0
1133.98,23.64,30,0
1140.44,23.64,30,0
1146.90,23.64,30,0
1153.36,23.64,30,0
1159.82,23.64,30,0
1166.28,23.63,30,0
1172.74,23.62,31,0
1179.20,23.63,32,0
1185.66,23.63,32,0
1192.12,23.61,31,0
1198.58,23.61,31,0
1205.04,23.61,31,0
1211.50,23.61,31,0
1217.96,23.6,31,0
1224.42,23.58,31,0
1230.88,23.59,31,0
1237.34,23.59,31,0
1243.80,23.57,31,0
1250.26,23.56,31,0
1256.72,23.55,31,0
1263.18,23.56,32,0
1269.64,23.55,31,0
1276.10,23.55,32,0
1282.56,23.56,32,0
1289.02,23.56,32,0
1295.48,23.54,32,0
1301.94,23.55,32,0
1308.40,23.54,32,0
1314.86,23.55,32,0
1321.44,23.55,31,0
1327.91,23.54,31,0
1334.36,23.54,31,0
1340.82,23.54,31,0
1347.28,23.54,31,0
1353.74,23.54,32,0
1360.20,23.51,32,0
1366.66,23.52,32,0
1373.12,23.51,32,0
1379.58,23.51,32,0
1386.03,23.52,32,0
1392.49,23.51,31,0
1398.95,23.51,31,0
1405.41,23.49,32,0
1411.87,23.48,32,0
1418.32,23.48,32,0
1424.78,23.48,32,0
1431.24,23.47,32,0
1437.70,23.48,32,0
1444.17,23.48,32,0
1450.63,23.48,32,0
1457.09,23.48,31,0
1463.55,23.48,32,0
1470.01,23.48,32,0
1476.47,23.48,32,0
1482.93,23.48,31,0
1489.39,23.45,31,0
1495.85,23.45,31,0
1502.31,23.44,31,0
1508.77,23.44,32,0
1515.23,23.43,32,0
1521.69,23.44,32,0
1528.15,23.44,32,0
1534.61,23.44,33,0
1541.06,23.44,32,0
1547.52,23.44,32,0
1553.98,23.43,32,0
