Time (seconds),Temp,Humid,Light
3.13,26.03,34,0
9.53,26.21,32,0
15.93,32.59,30,0
22.32,32.59,29,0
28.72,32.59,29,0
35.12,32.59,29,0
41.53,32.59,29,0
47.93,32.59,29,0
54.32,32.59,29,0
60.72,32.59,29,0
67.11,32.59,29,0
73.51,32.59,29,0
79.91,32.59,29,0
86.30,32.59,29,0
92.72,32.59,29,0
99.13,32.59,29,0
105.53,32.59,29,0
111.94,32.59,29,0
118.34,32.59,29,0
124.73,32.59,29,0
131.13,32.59,29,0
137.54,32.59,29,0
143.94,32.59,29,0
150.35,32.59,29,0
156.74,32.59,29,0
163.14,32.59,29,0
169.54,32.59,29,0
175.95,32.59,29,0
182.38,32.59,29,0
188.78,32.59,29,0
195.19,32.59,29,0
201.60,32.59,29,0
208.00,32.59,29,0
214.41,32.59,29,0
220.80,32.59,29,0
227.22,32.59,29,0
233.62,32.59,29,0
240.03,32.59,29,0
246.42,32.59,29,0
252.83,32.59,29,0
259.23,32.59,29,0
265.64,32.59,29,0
272.07,32.59,29,0
278.49,32.59,29,0
284.88,32.59,29,0
291.29,32.59,29,0
297.69,32.59,29,0
304.10,32.59,29,0
310.50,32.59,29,0
316.89,32.59,29,0
323.29,32.59,29,0
329.70,32.59,29,0
336.10,32.59,29,0
342.49,32.59,29,0
348.90,32.59,29,0
355.32,32.59,29,0
361.73,32.59,29,0
368.16,32.59,29,0
374.57,32.59,29,0
380.97,32.59,29,0
387.38,32.59,29,0
393.78,32.59,29,0
400.19,32.59,29,0
406.58,32.59,29,0
413.00,32.59,29,0
419.41,32.59,29,0
425.80,32.59,29,0
432.22,32.59,29,0
438.63,32.59,29,0
445.04,32.59,29,0
451.44,32.59,29,0
457.87,32.59,29,0
464.26,32.59,29,0
470.68,32.59,29,0
477.07,32.59,29,0
483.49,32.59,29,0
489.88,32.59,29,0
496.29,32.59,29,0
502.69,32.59,29,0
509.10,32.59,29,0
515.50,32.59,29,0
521.91,32.59,29,0
528.32,32.59,29,0
534.73,32.59,29,0
541.13,32.59,29,0
547.56,32.59,30,0
553.97,32.59,30,0
560.37,32.59,30,0
566.78,32.59,30,0
573.18,32.59,30,0
579.57,32.59,30,0
585.99,32.59,30,0
592.38,32.59,30,0
598.78,32.59,30,0
605.19,32.59,31,0
611.58,32.59,31,0
618.00,32.59,31,0
624.40,32.59,31,0
630.81,32.59,31,0
637.24,32.59,31,0
643.64,32.59,31,0
650.03,32.59,31,0
656.45,32.59,31,0
662.84,32.59,31,0
669.25,32.59,31,0
675.65,32.59,31,0
682.04,32.59,31,0
688.46,32.59,31,0
694.85,32.59,31,0
701.25,32.59,31,0
707.65,32.59,31,0
714.04,32.59,32,0
