Time (seconds),Temp,Humid,Light
3.16,27.73,23,0
9.65,27.57,22,0
16.05,26.86,20,0
22.46,26.46,19,0
28.86,25.85,19,0
35.26,25.3,19,0
41.66,24.92,19,0
48.16,24.6,19,0
54.56,24.38,19,0
61.07,24.17,19,0
67.58,23.93,19,0
74.08,23.75,20,0
80.48,23.52,20,0
86.98,23.3,20,0
93.38,23.08,20,0
99.88,22.94,20,0
106.39,22.79,20,0
112.89,22.67,21,0
119.39,22.57,21,0
125.90,22.45,21,0
132.40,22.33,21,0
138.91,22.25,21,0
145.41,22.13,21,0
151.91,22.02,22,0
158.41,21.93,22,0
164.91,21.86,22,0
171.41,21.77,22,0
177.92,21.67,22,0
184.41,21.58,22,0
190.91,21.51,22,0
197.41,21.47,22,0
203.91,21.37,22,0
210.42,21.27,23,0
216.91,21.2,23,0
223.41,21.13,23,0
229.91,21.06,23,0
236.41,20.98,23,0
242.91,20.87,23,0
249.41,20.73,23,0
255.91,20.66,23,0
262.41,20.59,23,0
268.91,20.56,23,0
275.40,20.53,23,0
281.90,20.48,24,0
288.40,20.44,24,0
294.90,20.39,24,0
301.40,20.35,24,0
307.89,20.32,24,0
314.39,20.28,24,0
320.89,20.21,24,0
327.38,20.18,24,0
333.88,20.14,24,0
340.37,20.11,24,0
346.87,20.05,24,0
353.37,20.01,24,0
359.86,19.97,24,0
366.36,19.94,24,0
372.86,19.93,24,0
379.35,19.9,25,0
385.85,19.86,25,0
392.34,19.82,25,0
398.84,19.78,25,0
405.33,19.75,25,0
411.83,19.72,25,0
418.32,19.7,25,0
424.82,19.63,25,0
431.31,19.58,25,0
437.81,19.56,25,0
444.30,19.52,25,0
450.80,19.47,25,0
457.30,19.44,25,0
463.79,19.41,25,0
470.29,19.37,25,0
476.78,19.34,25,0
483.27,19.31,25,0
489.77,19.28,25,0
496.26,19.25,25,0
502.76,19.21,25,0
509.26,19.17,25,0
515.75,19.16,26,0
522.25,19.13,26,0
528.74,19.11,26,0
535.24,19.08,26,0
541.73,19.04,26,0
548.22,19.02,26,0
554.72,18.98,26,0
561.21,18.94,26,0
567.70,18.92,26,0
574.19,18.89,26,0
580.69,18.85,26,0
587.18,18.83,26,0
593.67,18.81,26,0
600.17,18.79,26,0
606.66,18.75,26,0
613.15,18.72,26,0
619.65,18.7,26,0
626.14,18.68,26,0
632.63,18.65,26,0
639.13,18.63,26,0
645.62,18.6,26,0
652.11,18.58,26,0
658.60,18.57,26,0
665.10,18.54,26,0
671.59,18.52,26,0
678.08,18.52,27,0
684.57,18.48,27,0
691.07,18.47,27,0
697.56,18.45,27,0
704.05,18.44,27,0
710.55,18.42,27,0
717.04,18.4,27,0
723.53,18.38,27,0
730.02,18.36,27,0
736.52,18.34,27,0
743.01,18.32,27,0
749.51,18.3,27,0
756.00,18.28,27,0
762.49,18.3,27,0
768.98,18.27,27,0
775.48,18.23,27,0
781.97,18.21,27,0
788.46,18.18,27,0
794.95,18.17,27,0
801.44,18.15,27,0
807.93,18.13,27,0
814.42,18.11,27,0
820.92,18.09,27,0
827.41,18.07,27,0
833.90,18.06,27,0
840.39,18.05,27,0
846.88,18.02,27,0
853.38,18,27,0
859.87,17.99,27,0
866.36,17.97,27,0
872.85,17.95,27,0
879.35,17.93,27,0
885.84,17.92,27,0
892.33,17.89,27,0
898.82,17.86,27,0
905.31,17.84,27,0
911.80,17.82,27,0
918.29,17.79,27,0
924.78,17.76,27,0
931.27,17.75,27,0
937.76,17.74,27,0
944.26,17.73,27,0
950.75,17.71,27,0
957.24,17.69,28,0
963.73,17.69,28,0
970.22,17.67,28,0
976.71,17.65,28,0
983.20,17.63,28,0
989.69,17.62,28,0
996.19,17.6,28,0
1002.67,17.58,28,0
1009.16,17.57,28,0
1015.65,17.56,28,0
1022.15,17.55,28,0
1028.64,17.53,28,0
1035.13,17.51,28,0
1041.62,17.51,28,0
1048.11,17.48,28,0
1054.60,17.46,28,0
1061.09,17.46,28,0
1067.58,17.47,28,0
1074.07,17.44,28,0
1080.56,17.42,28,0
1087.05,17.42,28,0
1093.54,17.41,28,0
1100.02,17.4,28,0
1106.51,17.39,28,0
1113.00,17.37,28,0
1119.49,17.36,28,0
1125.97,17.37,28,0
1132.46,17.36,28,0
1138.95,17.35,28,0
1145.44,17.33,28,0
1151.93,17.33,28,0
1158.42,17.32,28,0
1164.91,17.31,28,0
1171.40,17.29,28,0
1177.89,17.28,28,0
1184.38,17.26,28,0
1190.87,17.25,28,0
1197.36,17.24,28,0
1203.84,17.22,28,0
1210.34,17.2,28,0
1216.82,17.21,28,0
1223.31,17.2,29,0
1229.80,17.19,29,0
1236.28,17.18,29,0
1242.77,17.16,29,0
1249.26,17.14,29,0
1255.75,17.13,29,0
1262.24,17.1,29,0
1268.73,17.08,29,0
1275.21,17.06,29,0
1281.70,17.04,29,0
1288.19,17.04,29,0
1294.67,17.02,29,0
1301.16,17,29,0
1307.65,16.99,29,0
1314.14,16.99,29,0
1320.62,16.98,29,0
1327.11,16.96,29,0
1333.60,16.95,29,0
1340.09,16.93,29,0
1346.58,16.92,29,0
1353.06,16.92,29,0
1359.55,16.91,29,0
1366.03,16.91,29,0
1372.52,16.89,29,0
1379.01,16.87,29,0
1385.50,16.86,29,0
1391.99,16.85,29,0
1398.47,16.84,29,0
1404.96,16.84,29,0
1411.45,16.82,29,0
1417.93,16.82,29,0
1424.42,16.81,29,0
1431.02,16.81,29,0
1437.51,16.81,29,0
1443.99,16.82,29,0
1450.48,16.81,29,0
1456.97,16.81,29,0
1463.46,16.81,29,0
1469.94,16.8,29,0
1476.43,16.79,29,0
1482.92,16.78,29,0
1489.41,16.77,29,0
1495.89,16.75,29,0
1502.38,16.74,29,0
1508.87,16.75,29,0
1515.35,16.76,29,0
1521.84,16.75,29,0
1528.33,16.72,29,0
1534.81,16.7,29,0
1541.30,16.68,29,0
1547.78,16.67,29,0
1554.27,16.66,29,0
1560.76,16.64,29,0
1567.25,16.63,29,0
1573.74,16.61,29,0
1580.22,16.6,29,0
1586.71,16.59,30,0
1593.20,16.58,30,0
1599.68,16.56,30,0
1606.17,16.54,30,0
1612.65,16.53,30,0
1619.14,16.52,30,0
1625.62,16.52,30,0
1632.11,16.52,30,0
1638.60,16.52,30,0
1645.08,16.52,30,0
1651.57,16.53,30,0
1658.05,16.52,30,0
1664.54,16.51,30,0
1671.02,16.5,30,0
1677.51,16.49,30,0
1683.99,16.49,30,0
1690.48,16.48,30,0
1696.96,16.48,30,0
1703.45,16.46,30,0
1709.94,16.46,30,0
1716.42,16.44,30,0
1722.91,16.42,30,0
1729.39,16.41,30,0
1735.88,16.4,30,0
1742.36,16.39,30,0
1748.85,16.39,30,0
1755.34,16.39,30,0
1761.82,16.38,30,0
1768.31,16.36,30,0
1774.80,16.35,30,0
1781.28,16.36,30,0
1787.77,16.35,30,0
1794.25,16.32,30,0
1800.74,16.31,30,0
1807.22,16.3,30,0
1813.71,16.29,30,0
1820.19,16.27,30,0
1826.68,16.25,30,0
1833.16,16.25,30,0
1839.65,16.25,30,0
1846.13,16.23,30,0
1852.62,16.21,30,0
1859.10,16.2,30,0
1865.58,16.19,30,0
1872.07,16.19,30,0
1878.55,16.2,30,0
1885.04,16.19,30,0
1891.52,16.18,30,0
1898.01,16.17,30,0
1904.49,16.17,30,0
1910.98,16.15,30,0
1917.46,16.15,30,0
1923.95,16.14,30,0
1930.43,16.13,30,0
1936.92,16.12,30,0
1943.40,16.11,30,0
1949.89,16.08,30,0
1956.37,16.05,30,0
1962.86,16.03,30,0
1969.34,16.04,31,0
1975.83,16.03,31,0
1982.32,16.02,31,0
1988.80,16.02,31,0
1995.28,16.02,31,0
2001.77,16.01,31,0
2008.25,16.01,30,0
2014.74,16,30,0
2021.22,15.99,30,0
2027.71,15.99,31,0
2034.19,15.98,31,0
2040.67,15.96,31,0
2047.15,15.96,31,0
2053.64,15.97,31,0
2060.12,15.96,31,0
2066.60,15.96,31,0
2073.09,15.95,31,0
2079.57,15.95,31,0
2086.06,15.94,31,0
2092.54,15.94,31,0
2099.02,15.95,31,0
2105.51,15.94,31,0
2111.99,15.92,31,0
2118.48,15.92,31,0
2124.96,15.93,31,0
2131.45,15.93,31,0
2137.93,15.93,31,0
2144.42,15.94,31,0
2150.90,15.95,31,0
2157.38,15.95,31,0
2163.87,15.94,31,0
2170.36,15.92,31,0
2176.84,15.91,31,0
2183.32,15.9,31,0
2189.81,15.89,31,0
2196.29,15.87,31,0
2202.77,15.85,31,0
2209.26,15.85,31,0
2215.74,15.84,31,0
2222.22,15.84,31,0
2228.71,15.82,31,0
2235.19,15.82,31,0
2241.67,15.82,31,0
2248.16,15.81,31,0
2254.65,15.8,31,0
2261.13,15.8,31,0
2267.61,15.82,31,0
2274.10,15.82,31,0
2280.58,15.82,31,0
2287.06,15.81,31,0
2293.55,15.81,31,0
2300.03,15.82,31,0
2306.51,15.82,31,0
2313.00,15.82,31,0
2319.48,15.81,31,0
2325.97,15.8,31,0
2332.45,15.8,31,0
2338.94,15.8,31,0
2345.42,15.8,31,0
2351.91,15.8,31,0
2358.39,15.8,31,0
2364.88,15.78,31,0
2371.36,15.78,31,0
2377.84,15.77,31,0
2384.33,15.77,31,0
2390.81,15.76,31,0
2397.29,15.76,31,0
2403.77,15.77,31,0
2410.26,15.76,31,0
2416.74,15.74,31,0
2423.23,15.73,31,0
2429.72,15.69,31,0
2436.20,15.68,31,0
2442.69,15.68,31,0
2449.17,15.66,31,0
2455.66,15.65,31,0
2462.14,15.65,31,0
2468.62,15.64,31,0
2475.10,15.63,31,0
2481.59,15.63,31,0
2488.07,15.63,31,0
2494.55,15.62,31,0
2501.04,15.62,31,0
2507.52,15.63,31,0
2514.00,15.63,31,0
2520.49,15.62,31,0
2526.97,15.61,31,0
2533.45,15.6,31,0
2539.94,15.6,31,0
2546.42,15.59,31,0
2552.90,15.59,31,0
2559.38,15.57,31,0
2565.86,15.57,31,0
2572.35,15.59,31,0
2578.83,15.6,31,0
2585.31,15.58,31,0
2591.79,15.57,31,0
2598.27,15.57,31,0
2604.76,15.57,31,0
2611.24,15.57,31,0
2617.72,15.56,31,0
2624.20,15.54,31,0
2630.69,15.53,31,0
2637.17,15.53,31,0
2643.65,15.52,31,0
2650.14,15.52,31,0
2656.62,15.52,31,0
2663.10,15.52,31,0
2669.58,15.5,31,0
2676.07,15.5,31,0
2682.55,15.49,31,0
2689.03,15.49,31,0
2695.51,15.48,31,0
2702.00,15.47,31,0
2708.48,15.47,31,0
2714.96,15.45,32,0
2721.44,15.44,32,0
2727.92,15.43,32,0
2734.40,15.43,32,0
2740.88,15.42,32,0
2747.37,15.42,32,0
2753.85,15.41,32,0
2760.33,15.4,32,0
2766.81,15.41,32,0
2773.29,15.42,32,0
2779.77,15.43,32,0
2786.26,15.43,32,0
2792.74,15.44,32,0
2799.22,15.44,32,0
2805.71,15.44,32,0
2812.19,15.43,32,0
2818.67,15.43,32,0
2825.16,15.44,31,0
2831.64,15.44,31,0
2838.24,15.44,31,0
2844.72,15.44,31,0
2851.21,15.44,31,0
2857.69,15.43,31,0
2864.17,15.43,31,0
2870.65,15.43,31,0
2877.14,15.42,31,0
2883.62,15.42,31,0
2890.10,15.41,31,0
2896.58,15.4,31,0
2903.07,15.39,32,0
2909.55,15.39,32,0
2916.04,15.39,32,0
2922.52,15.38,32,0
2929.00,15.37,32,0
2935.48,15.37,32,0
2941.97,15.37,32,0
2948.45,15.37,32,0
2954.93,15.36,32,0
2961.41,15.35,32,0
2967.90,15.34,32,0
2974.38,15.34,32,0
2980.86,15.34,32,0
2987.35,15.33,32,0
2993.83,15.33,32,0
3000.31,15.32,32,0
3006.80,15.31,32,0
3013.28,15.3,32,0
3019.77,15.31,32,0
3026.25,15.3,32,0
3032.73,15.3,32,0
3039.21,15.3,32,0
3045.70,15.31,32,0
3052.18,15.3,32,0
3058.66,15.31,32,0
3065.14,15.3,32,0
3071.62,15.31,32,0
3078.11,15.3,32,0
3084.59,15.29,32,0
3091.07,15.28,32,0
3097.55,15.28,32,0
3104.03,15.27,32,0
3110.51,15.26,32,0
3116.99,15.25,32,0
3123.47,15.24,32,0
3129.95,15.24,32,0
3136.44,15.23,32,0
3142.91,15.23,32,0
3149.40,15.21,32,0
3155.88,15.21,32,0
3162.36,15.22,32,0
3168.84,15.22,32,0
3175.33,15.21,32,0
3181.81,15.21,32,0
3188.29,15.22,32,0
3194.77,15.22,32,0
3201.25,15.23,32,0
3207.73,15.24,32,0
3214.21,15.24,32,0
3220.70,15.23,32,0
3227.18,15.23,32,0
